model,batch_size,num_epochs,gpu_type,run_number,total_training_time_sec,avg_time_per_epoch_sec,inference_latency_single_img_sec,inference_latency_batch_sec,throughput_img_per_sec,gpu_memory_allocated_MB,gpu_memory_peak_MB,validation_accuracy_pct,f1_score
CustomCNN,16,5,Tesla T4,1,170.48,27.49,0.0016,0.0134,1190.87,425.85,962.34,76.88,75.07
CustomCNN,16,5,Tesla T4,2,161.63,25.85,0.0016,0.0135,1186.3,435.01,970.5,73.66,72.98
CustomCNN,16,5,Tesla T4,3,159.5,25.57,0.0016,0.0117,1363.23,435.04,970.75,80.45,80.1
CustomCNN,16,10,Tesla T4,1,332.58,26.6,0.0017,0.0137,1171.47,435.01,971.12,86.16,86.28
CustomCNN,16,10,Tesla T4,2,335.22,26.98,0.0016,0.0125,1278.36,435.85,972.12,83.66,83.53
CustomCNN,16,10,Tesla T4,3,331.76,26.68,0.0016,0.0135,1187.26,435.42,971.62,79.38,79.16
CustomCNN,16,20,Tesla T4,1,670.08,26.87,0.0016,0.0135,1183.54,435.51,971.62,88.75,88.67
CustomCNN,16,20,Tesla T4,2,671.25,26.87,0.0016,0.0117,1365.28,435.85,971.96,90.45,90.59
CustomCNN,16,20,Tesla T4,3,671.99,27.05,0.0016,0.0135,1183.85,434.63,970.81,91.43,91.43
CustomCNN,32,5,Tesla T4,1,163.93,26.09,0.0016,0.0227,1407.54,444.63,1512.28,71.88,69.98
CustomCNN,32,5,Tesla T4,2,163.09,25.99,0.0016,0.024,1333.43,453.01,1520.65,70.54,69.12
CustomCNN,32,5,Tesla T4,3,167.06,26.68,0.0017,0.0256,1250.92,452.98,1519.81,78.04,77.73
CustomCNN,32,10,Tesla T4,1,330.78,26.49,0.0017,0.0256,1251.24,453.13,1519.96,71.25,70.47
CustomCNN,32,10,Tesla T4,2,331.42,26.55,0.0016,0.0232,1380.81,453.01,1520.65,81.25,79.99
CustomCNN,32,10,Tesla T4,3,330.5,26.42,0.0016,0.0226,1418.45,452.98,1519.81,84.11,83.53
CustomCNN,32,20,Tesla T4,1,658.14,26.27,0.0017,0.0255,1252.52,453.13,1519.96,89.55,89.55
CustomCNN,32,20,Tesla T4,2,662.28,26.55,0.0016,0.0244,1309.98,453.01,1520.65,89.91,89.78
CustomCNN,32,20,Tesla T4,3,658.54,26.37,0.0017,0.0242,1321.16,453.26,1520.09,91.96,91.97
CustomCNN,64,5,Tesla T4,1,161.18,25.81,0.0016,0.0506,1265.17,453.01,2600.9,79.38,77.57
CustomCNN,64,5,Tesla T4,2,162.71,25.91,0.0016,0.0495,1292.98,471.35,2619.75,80.8,80.31
CustomCNN,64,5,Tesla T4,3,160.05,25.75,0.0015,0.0458,1397.04,471.38,2619.28,81.96,81.98
CustomCNN,64,10,Tesla T4,1,320.75,25.63,0.0016,0.0483,1324.9,471.35,2619.75,87.5,87.51
CustomCNN,64,10,Tesla T4,2,324.77,26.01,0.0016,0.0506,1266.03,471.38,2619.78,80.8,80.08
CustomCNN,64,10,Tesla T4,3,323.84,25.97,0.0016,0.0449,1425.51,471.38,2619.28,53.66,45.71
CustomCNN,64,20,Tesla T4,1,660.71,26.49,0.0017,0.0476,1345.34,471.63,2620.03,84.55,84.27
CustomCNN,64,20,Tesla T4,2,682.76,27.1,0.0016,0.0507,1263.22,435.1,2583.0,76.79,74.3
CustomCNN,64,20,Tesla T4,3,662.56,26.44,0.0016,0.0498,1285.51,471.73,2620.12,89.11,89.1
